example_id                                                                 | status | run_time        |
./spec/models/enliterator/claim_spec.rb[1:3:3]                             | passed | 0.00249 seconds |
./spec/models/enliterator/claim_spec.rb[1:4:1]                             | passed | 0.00214 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:1:1]                    | passed | 0.00161 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:1:2]                    | passed | 0.00228 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:1:3]                    | passed | 0.00167 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:1:4]                    | passed | 0.00297 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:1:5]                    | passed | 0.00204 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:1:6]                    | passed | 0.00436 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:2:1]                    | passed | 0.00309 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:2:2]                    | passed | 0.00284 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:2:3]                    | passed | 0.00178 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:2:4]                    | passed | 0.00131 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:2:5]                    | passed | 0.00152 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:2:6]                    | passed | 0.00157 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:3:1]                    | passed | 0.00086 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:3:2]                    | passed | 0.00106 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:4:1]                    | passed | 0.00687 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:4:2]                    | passed | 0.00647 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:5:1]                    | passed | 0.00226 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:5:2]                    | passed | 0.00327 seconds |
./spec/models/enliterator/considerer_run_spec.rb[1:5:3]                    | passed | 0.00352 seconds |
./spec/models/enliterator/context_spec.rb[1:1]                             | passed | 0.00449 seconds |
./spec/models/enliterator/context_spec.rb[1:2]                             | passed | 0.0022 seconds  |
./spec/models/enliterator/context_spec.rb[1:3]                             | passed | 0.00428 seconds |
./spec/models/enliterator/context_spec.rb[1:4:1]                           | passed | 0.00705 seconds |
./spec/models/enliterator/embedding_spec.rb[1:1:1]                         | passed | 0.0165 seconds  |
